copper_temperature,copper_length_diff,copper_absolute_length,brass_temperature,brass_length_diff,brass_absolute_length,steel_temperature,steel_length_diff,steel_absolute_length
22.2,0.0,771.4,22.2,0.0,771.45,22.5,0.0,773.1
25.2,0.04,771.4399999999999,25.3,0.04,771.49,25.7,0.03,773.13
30.4,0.12,771.52,30.5,0.13,771.58,30.5,0.08,773.1800000000001
35.7,0.2,771.6,35.9,0.21,771.6600000000001,35.7,0.13,773.23
40.2,0.25,771.65,40.4,0.26,771.71,40.1,0.17,773.27
45.2,0.33,771.73,44.9,0.34,771.7900000000001,45.3,0.22,773.32
50.2,0.39,771.79,50.0,0.41,771.86,50.3,0.26,773.36
55.1,0.45,771.85,55.1,0.48,771.9300000000001,55.1,0.31,773.41
59.9,0.53,771.93,60.3,0.56,772.01,60.4,0.36,773.46
64.9,0.59,771.99,65.4,0.63,772.08,64.8,0.4,773.5
